iter	Passed	Remaining
0	2	6576
1	4	6465
2	6	6130
3	8	6162
4	10	6198
5	12	6057
6	14	6230
7	16	6194
8	18	6181
9	20	6232
10	22	6158
11	25	6296
12	27	6241
13	28	6164
14	30	6143
15	32	6071
16	34	6008
17	36	6063
18	38	6080
19	40	6090
20	43	6133
21	45	6113
22	47	6162
23	49	6166
24	51	6149
25	53	6151
26	55	6134
27	57	6105
28	59	6114
29	61	6120
30	63	6122
31	66	6163
32	69	6208
33	71	6244
34	74	6276
35	77	6350
36	79	6350
37	81	6351
38	83	6331
39	85	6318
40	87	6316
41	89	6302
42	92	6333
43	94	6325
44	96	6304
45	97	6286
46	99	6269
47	101	6257
48	103	6246
49	105	6252
50	107	6231
51	109	6216
52	111	6207
53	113	6193
54	115	6188
55	117	6183
56	120	6218
57	123	6257
58	125	6261
59	127	6247
60	129	6227
61	131	6252
62	134	6248
63	136	6253
64	138	6269
65	140	6258
66	143	6262
67	145	6292
68	148	6319
69	152	6365
70	154	6379
71	157	6387
72	159	6386
73	162	6414
74	166	6499
75	170	6546
76	172	6556
77	175	6558
78	177	6554
79	179	6562
80	183	6615
81	185	6613
82	188	6638
83	192	6668
84	195	6701
85	199	6746
86	201	6745
87	206	6837
88	215	7043
89	245	7923
90	282	9023
91	289	9139
92	295	9248
93	299	9268
94	302	9256
95	306	9266
96	312	9343
97	335	9929
98	350	10278
99	353	10247
100	356	10243
101	359	10217
102	362	10201
103	365	10168
104	367	10142
105	370	10110
106	373	10086
107	375	10068
108	378	10050
109	383	10068
110	386	10050
111	390	10077
112	393	10054
113	396	10038
114	401	10073
115	405	10081
116	408	10075
117	413	10103
118	417	10109
119	421	10110
120	425	10112
121	427	10082
122	429	10047
123	431	10010
124	433	9967
125	435	9929
126	437	9889
127	439	9859
128	441	9824
129	443	9793
130	445	9765
131	447	9729
132	449	9694
133	452	9669
134	453	9631
135	455	9599
136	458	9574
137	460	9548
138	462	9524
139	464	9495
140	466	9464
141	468	9437
142	470	9407
143	472	9374
144	474	9351
145	477	9327
146	479	9306
147	481	9280
148	483	9253
149	486	9245
150	488	9213
151	490	9185
152	492	9164
153	494	9138
154	497	9125
155	499	9099
156	500	9072
157	503	9056
158	505	9031
159	507	9005
160	509	8980
161	510	8951
162	512	8921
163	514	8899
164	516	8873
165	518	8852
166	520	8827
167	522	8801
168	523	8777
169	525	8755
170	527	8732
171	529	8707
172	531	8683
173	533	8660
174	535	8639
175	537	8619
176	538	8593
177	540	8569
178	542	8548
179	544	8527
180	546	8508
181	548	8490
182	550	8471
183	552	8452
184	554	8430
185	555	8409
186	557	8390
187	559	8371
188	561	8355
189	563	8337
190	565	8323
191	567	8306
192	569	8287
193	571	8270
194	573	8250
195	575	8231
196	577	8217
197	579	8201
198	581	8186
199	583	8169
200	585	8154
201	587	8139
202	589	8121
203	591	8102
204	592	8084
205	594	8065
206	596	8047
207	598	8032
208	600	8019
209	602	8002
210	604	7988
211	606	7978
212	608	7960
213	610	7947
214	612	7932
215	614	7914
216	616	7903
217	618	7888
218	619	7872
219	621	7857
220	623	7843
221	625	7827
222	627	7813
223	629	7803
224	631	7786
225	633	7771
226	634	7755
227	636	7739
228	638	7724
229	640	7708
230	641	7692
231	643	7676
232	645	7661
233	646	7646
234	648	7632
235	650	7621
236	652	7605
237	654	7590
238	656	7578
239	657	7563
240	659	7548
241	661	7536
242	663	7522
243	664	7508
244	666	7494
245	668	7482
246	669	7467
247	671	7453
248	673	7440
249	675	7426
250	676	7412
251	678	7402
252	680	7389
253	682	7375
254	684	7363
255	685	7349
256	687	7336
257	689	7323
258	690	7312
259	692	7299
260	694	7287
261	696	7276
262	697	7262
263	699	7249
264	701	7236
265	702	7223
266	704	7209
267	705	7196
268	707	7186
269	709	7173
270	711	7160
271	712	7150
272	714	7137
273	716	7124
274	717	7111
275	719	7100
276	721	7088
277	723	7079
278	724	7069
279	726	7057
280	728	7046
281	729	7034
282	731	7024
283	733	7013
284	735	7002
285	736	6992
286	738	6980
287	740	6969
288	741	6960
289	743	6949
290	745	6937
291	747	6927
292	748	6917
293	750	6906
294	752	6896
295	753	6886
296	755	6875
297	756	6863
298	758	6853
299	760	6844
300	762	6833
301	763	6822
302	765	6812
303	767	6802
304	768	6791
305	770	6782
306	771	6771
307	773	6761
308	775	6750
309	776	6740
310	778	6730
311	780	6721
312	781	6712
313	783	6702
314	785	6693
315	786	6684
316	788	6675
317	790	6665
318	792	6656
319	793	6648
